venue_id,name,type,location,
170,Библиотека национальных литератур,TL-LIB-LOC,C,
171,Лендок,CC-ART,C,
172,Театр Куклы,CC-PER,C,
173,Библиотека правовой информации,TL-LIB-LOC,C,
174,Свои книги,CM-BOK-IND,C,
175,Библиотека Крупской,TL-LIB-LOC,C,
176,Дом дружбы народов,IC-CEN,C,
177,ИРЛИ,TL-EDU,C,
178,ЛЮМЬЕР-ХОЛЛ,CC-ART,C,
179,Библиотека Есенина,TL-LIB-LOC,C,
180,The Point,CM-FNB,C,
181,ДК Выборгский,CS-ALL,C,
182,Музей нонконформистского искусства,CC-ART,C,
183,ДК Розы,CS-ALL,C,
184,Сердце,CM-FNB,C,
185,Кошачья республика,CC-ALT,C,
186,Главный Штаб,CC-ART,H,
187,Городское кафе ЗиС,CM-FNB,C,
188,Костел св. Екатерины,CS-ALL,H,
189,Консульство Республики Польша,IC-CEN,C,
190,Республика котов,CC-ALT,C,
191,Филологический факультет СПбГУ,TL-EDU,C,
192,2 Колеса,CM-FNB,C,
193,Классическая гимназия 610,TL-EDU,C,
194,Аничков Дворец,CC-ART,H,
195,DO-gallery,CC-ART,C,
196,Charlie,CM-FNB,C,
197,Польский Дом,IC-CEN,C,
198,Музей истории религии,TL-MUS,C,
199,Творческое пространство О+,CC-ALT,C,
200,Колбабар,CM-FNB,C,
201,Юсупов Palace,CC-ART,H,
202,Театр Комедианты,CC-PER,C,
203,Центр искусств им. Дягилева,CC-ART,C,
204,Филологический факультет РГПУ,TL-EDU,C,
205,Музей И.И.Бродского,TL-MUS,C,
206,ANDY BAR,CM-FNB,C,
207,Библиотека Кронштадта,TL-LIB-LOC,S,
208,Дом композиторов,CS-ALL,C,
209,Гете-институт,IC-CEN,C,
210,Сныть,CM-FNB,C,
211,Лес Вилла,CM-FNB,C,
212,Союз писателей России,CS-ALL,C,
213,Митьки-Арт,CC-ART,C,
214,Философский факультет СПбГУ,TL-EDU,C,
215,Кафе Рапан,CM-FNB,S,
216,Буфет Пьяная груша,CM-FNB,C,
217,Администрация Петроградского района,CS-ALL,C,
218,Памятный зал защитников Ленинграда,TL-MUS,C,
219,KGallery,CC-ART,C,
220,Дом архитектора,CS-ALL,C,
221,Капкан,CC-ALT,C,
222,Репин Бар,CM-FNB,C,
223,Новый музей,CC-ART,C,
224,Библиотека Зощенко,TL-LIB-LOC,S,
225,ЕСОД,CS-ALL,C,
226,Театр Мастерская,CC-PER,C,
227,ZIS,CM-FNB,C,
228,Театр на Литейном,CC-PER,C,
229,Троицкая библиотека,TL-LIB-LOC,C,
230,РНБ новое здание,TL-LIB-MAJ,S,
231,Музей искусства Санкт-Петербурга,TL-MUS,C,
232,Школа Masters,TL-EDU,C,
233,Музей Ротонда,TL-MUS,C,
234,Молодежная библиотека на Гражданке,TL-LIB-LOC,S,
235,Голицын-лофт,CC-ALT,C,
236,Академия художеств,TL-EDU,C,
237,Книжный магазин Факел,CM-BOK-IND,C,
238,Концертный зал у Финляндского,CC-PER,C,
239,Приморский дом культуры,CS-ALL,S,
240,Среда,CC-ALT,C,
241,Большой зал филармонии,CC-PER,C,
242,НИУ ВШЭ,TL-EDU,C,
243,Лаборадория Интимное место,CC-ALT,C,
244,Факультет философии РГПУ,TL-EDU,C,
245,Буквоед в Колпино,CM-BOK-CHN,S,
246,Редакция Санкт-Петербургских ведомостей,CS-ALL,C,
247,Байконур,CC-ALT,C,
248,BIRD Photostudio,CC-ART,C,
249,AnnaNova,CC-ART,C,
250,Choker,CM-FNB,C,
251,Музей звука,CC-ART,C,
252,Жопа,CC-ALT,C,
253,Фонд Михаила Шемякина,CC-ART,C,
254,Музей Некрасова,TL-MUS,C,
255,Студия Юрия Касьяника,CC-ALT,C,
256,Rat hole,CC-ALT,C,
257,Галерея Квартира Алексея Сергиенко,CC-ART,C,
258,Центральная детская библиотека Приморского района,TL-LIB-LOC,S,
259,Библиотека Салтыкова-Щедрина,TL-LIB-LOC,S,
260,Ресторан Ragu,CM-FNB,C,
261,ARTIZMERENIE,CC-ART,C,
262,Квартира. Разговоры,CC-ALT,C,
263,ДК Громов,CS-ALL,C,
