id,name,transliterated_name,viaf_id,wikidata_id
407,Евгений Антипов,Evgeniĭ  Antipov,24512451,Q18043791
408,Герман Греков,Herman  Hrekov,'13147965851184080896',Q54857364
409,Марья Зелинская,Marʹi͡a  Zelinskai͡a,,
411,Галина Артеменко,Halina  Artemenko,,
412,Елена Чижова,Elena  Chizhova,96887274,Q3050726
413,Даниэль Клугер,Daniėlʹ  Kluger,'452144783093472493568',
416,Зинаида Павлова,Zinaida  Pavlova,'112151302858448666624',
420,Юлия Колесова,I͡Ulii͡a  Kolesova,'31157467791222321152',
422,Камилла Лэкберг,Kamilla  Lėkberg,42169286,Q231320
424,Александр Прост,Aleksandr  Prost,,
425,Марина Чен,Marina  Chen,48699736,
426,Яков Гордин,I͡Akov  Hordin,56922630,Q4143880
427,Мария Богданова,Marii͡a  Bogdanova,3751889,
428,Ирада Вовненко,Irada  Vovnenko,281992986,
431,Марк Шатуновский,Mark  Shatunovskiĭ,,Q4520985
432,Иван Жданов,Ivan  Zhdanov,84224178,Q4178481
433,Игорь Караулов,Igorʹ  Karaulov,103782590,Q4214395
434,Катя Капович,Kati͡a  Kapovich,80967778,Q4213152
435,Виталий Пуханов,Vitaliĭ  Pukhanov,122150393,Q16689671
436,Юрий Арабов,I͡Uriĭ  Arabov,190754646,Q4068383
437,Алексей Порвин,Alekseĭ  Porvin,120535347,Q4372961
438,Полина Барскова,Polina  Barskova,21760666,Q4078552
439,Максим Жуков,Maksim  Zhukov,54057362,Q7454137
440,Ванесса Плейс,Vanessa  Pleĭs,,
442,Евгений Осташевский,Evgeniĭ  Ostashevskiĭ,19583051,Q18741304
443,Анна Баркова,Anna  Barkova,59174084,
444,Ирина Вербловская,Irina  Verblovskai͡a,167009145,
445,Екатерина Полянская,Ekaterina  Poli͡anskai͡a,306431708,Q28500336
446,Александр Джигит,Aleksandr  Dzhigit,,
447,Мария Грачева,Marii͡a  Hracheva,'50152329164502671360',
448,Рома Гонза,Roma  Honza,'12153361263037390848',
449,Даниил Берковский,Daniil  Berkovskiĭ,,
450,Владимир Скворцов,Vladimir  Skvort͡sov,75534492,Q4421747
451,Ирина Каренина,Irina  Karenina,'47169818544620175360',Q4214965
453,Владимир Захаров,Vladimir  Zakharov,304986843,Q15066904
454,Галина Илюхина,Halina  Ili͡ukhina,171066235,Q15067423
455,Александр Тенишев,Aleksandr  Tenishev,,
456,Ольга Аникина,Olʹga  Anikina,315605312,Q28495526
457,Андрей Щербак-Жуков,Andreĭ  Shcherbak-Zhukov,,Q4528785
458,Марина Немарская,Marina  Nemarskai͡a,'603150323841710030848',
460,Аль Ру,Alʹ  Ru,'77153651660955779072',
461,Вячеслав Памурзин,Vi͡acheslav  Pamurzin,,
462,Дмитрий Шабанов,Dmitriĭ  Shabanov,'2050165573920637845504',
463,Дмитрий Легеза,Dmitriĭ  Legeza,'131147965922184085504',Q15071103
464,Анастасия Романова,Anastasii͡a  Romanova,14702924,Q15090741
465,Лета Югай,Leta  I͡Ugaĭ,,
466,Ксения Герцен,Ksenii͡a  Hert͡sen,,
468,Лев Колбачев,Lev  Kolbachev,,
469,Сара Левест,Sara  Levest,,
470,Алексей Иванов,Alekseĭ  Ivanov,'2027157704202744496128',Q1967697
472,Леонид Парфенов,Leonid  Parfenov,88160441,
473,Кристина Ульссон,Kristina  Ulʹsson,,
474,Мария Ланг,Marii͡a  Lang,,
475,Юлия Зайцева,I͡Ulii͡a  Zaĭt͡seva,,
476,Елена Джумука,Elena  Dzhumuka,,
478,Катя Кетту,Kati͡a  Kettu,,
480,Захар Прилепин,Zakhar  Prilepin,59402493,Q1530559
483,Илья Пушкин,Ilʹi͡a  Pushkin,98436410,
484,Диана Виньковецкая,Diana  Vinʹkovet͡skai͡a,65336365,
485,Борис Мессерер,Boris  Messerer,96572270,Q4291289
487,Михаил Кельмович,Mikhail  Kelʹmovich,316001513,
488,Иван Купреянов,Ivan  Kuprei͡anov,,
489,Алексей Шмелев,Alekseĭ  Shmelev,,
490,Виталий Веникеев,Vitaliĭ  Venikeev,,
491,Алексей Вдовин,Alekseĭ  Vdovin,303411967,Q3609605
493,Иван Пинженин,Ivan  Pinzhenin,296543467,
495,Алексей Аствацатуров,Alekseĭ  Astvat͡saturov,34365316,Q109492346
496,Максим Замшев,Maksim  Zamshev,'1541145857064322990080',Q109411804
497,Эдвард Радзинский,Ėdvard  Radzinskiĭ,98761666,Q20190248
502,Наталья Шелепова,Natalʹi͡a  Shelepova,,
504,Виктор Зацепин,Viktor  Zat͡sepin,,
505,Петер Богданович,Peter  Bogdanovich,66496669,
506,Гэбриэл Палец,Hėbriėl  Palet͡s,,
507,Лотта Улссон,Lotta  Ulsson,,
509,Николай Горбунов,Nikolaĭ  Horbunov,50287981,
510,Виктор Бузинов,Viktor  Buzinov,247669234,
512,Наталья Перевезенцева,Natalʹi͡a  Perevezent͡seva,,
514,Эрик Горошевский,Ėrik  Horoshevskiĭ,,Q120269012
516,Михаил Антипов,Mikhail  Antipov,,Q16272457
518,Александра Маринина,Aleksandra  Marinina,71538304,Q236233
519,Лариса Павлинская,Larisa  Pavlinskai͡a,,
520,Андрей Локиев,Andreĭ  Lokiev,,
522,Ирина Витковская,Irina  Vitkovskai͡a,'4151715564513780224',
523,Дмитрий Бирман,Dmitriĭ  Birman,311283344,
524,Ирина Горюнова,Irina  Hori͡unova,136454367,Q4146194
525,Яна Амис,I͡Ana  Amis,,
529,Сергей Носов,Sergeĭ  Nosov,63863316,Q4327598
530,Павел Крусанов,Pavel  Krusanov,85727146,Q4242321
531,Александр Секацкий,Aleksandr  Sekat͡skiĭ,6077709,Q4413206
532,Татьяна Москвина,Tatʹi͡ana  Moskvina,225771383,Q4303774
533,Наталия Азарова,Natalii͡a  Azarova,310519725,Q4058153
534,Валерий Мишин,Valeriĭ  Mishin,431144647712439525785,Q109485712
536,Катя Морозова,Kati͡a  Morozova,315991568,
540,Герман Власов,Herman  Vlasov,282535376,Q42296290
541,Виктор Ганч,Viktor  Hanch,,
542,Павел Синельников,Pavel  Sinelʹnikov,,
543,Ольга Федорова,Olʹga  Fedorova,206234814,
544,Борис Панкин,Boris  Pankin,93352873,Q279648
545,Вячеслав Бухаев,Vi͡acheslav  Bukhaev,,Q4100440
546,Роман Костицын,Roman  Kostit͡syn,,
547,Ирэна Андреева,Irėna  Andreeva,65366578,
548,Дмитрий Никитин,Dmitriĭ  Nikitin,,
549,Валерий Попов,Valeriĭ  Popov,104144814393123044008,Q2914010
550,Александр Тимофеевский,Aleksandr  Timofeevskiĭ,'147145003292061302784',Q4457636
